id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence,crit_acclaim
6zcARpNpbhakJqS7pcXPfM,Moses Sumney,Doomed,51,0.9420000000000001,https://api.spotify.com/v1/audio-analysis/6zcARpNpbhakJqS7pcXPfM,0.245,267654,0.12,0.00406,0,0.11,-14.284,1,0.0326,72.611,5,https://api.spotify.com/v1/tracks/6zcARpNpbhakJqS7pcXPfM,audio_features,spotify:track:6zcARpNpbhakJqS7pcXPfM,0.0379,1
5Ef2jAFk5vIY9upkqPxbgm,Ibeyi,Deathless,48,0.0397,https://api.spotify.com/v1/audio-analysis/5Ef2jAFk5vIY9upkqPxbgm,0.7709999999999999,191427,0.628,0.125,2,0.0686,-7.155,1,0.157,148.032,4,https://api.spotify.com/v1/tracks/5Ef2jAFk5vIY9upkqPxbgm,audio_features,spotify:track:5Ef2jAFk5vIY9upkqPxbgm,0.28800000000000003,1
6PGoSes0D9eUDeeAafB2As,Kendrick Lamar,LOVE. FEAT. ZACARI.,82,0.264,https://api.spotify.com/v1/audio-analysis/6PGoSes0D9eUDeeAafB2As,0.8,213400,0.585,0.0,10,0.153,-7.343,1,0.0924,126.05799999999999,4,https://api.spotify.com/v1/tracks/6PGoSes0D9eUDeeAafB2As,audio_features,spotify:track:6PGoSes0D9eUDeeAafB2As,0.779,1
4bEcoz1OcfMgUbp2ft8ieQ,"Tyler, The Creator",911 / Mr. Lonely (feat. Frank Ocean & Steve Lacy),74,0.0456,https://api.spotify.com/v1/audio-analysis/4bEcoz1OcfMgUbp2ft8ieQ,0.48,255653,0.61,0.0,0,0.313,-7.042000000000001,1,0.305,90.03399999999999,4,https://api.spotify.com/v1/tracks/4bEcoz1OcfMgUbp2ft8ieQ,audio_features,spotify:track:4bEcoz1OcfMgUbp2ft8ieQ,0.297,1
7jFM0wZch8oJVRVQMl2nvV,Priests,Nothing Feels Natural,34,0.008020000000000001,https://api.spotify.com/v1/audio-analysis/7jFM0wZch8oJVRVQMl2nvV,0.307,239034,0.693,0.8690000000000001,9,0.0845,-7.167000000000001,0,0.035,145.562,4,https://api.spotify.com/v1/tracks/7jFM0wZch8oJVRVQMl2nvV,audio_features,spotify:track:7jFM0wZch8oJVRVQMl2nvV,0.308,1
4YBDSEzVNQbvCvVIWNtruF,Lorde,The Louvre,59,0.239,https://api.spotify.com/v1/audio-analysis/4YBDSEzVNQbvCvVIWNtruF,0.664,271088,0.382,0.007490000000000001,0,0.0943,-9.977,1,0.047,123.214,4,https://api.spotify.com/v1/tracks/4YBDSEzVNQbvCvVIWNtruF,audio_features,spotify:track:4YBDSEzVNQbvCvVIWNtruF,0.126,1
2dH6JDf5L4kQnDAtxBNeio,Jay Som,The Bus Song,48,0.127,https://api.spotify.com/v1/audio-analysis/2dH6JDf5L4kQnDAtxBNeio,0.449,216907,0.511,0.00695,11,0.102,-6.7410000000000005,1,0.0345,170.38,4,https://api.spotify.com/v1/tracks/2dH6JDf5L4kQnDAtxBNeio,audio_features,spotify:track:2dH6JDf5L4kQnDAtxBNeio,0.319,1
3TpS8fwpm5yqcGIudfkIxc,Fever Ray,To The Moon And Back,32,0.0034700000000000004,https://api.spotify.com/v1/audio-analysis/3TpS8fwpm5yqcGIudfkIxc,0.7090000000000001,277951,0.9420000000000001,0.597,5,0.091,-8.434,1,0.0428,104.994,4,https://api.spotify.com/v1/tracks/3TpS8fwpm5yqcGIudfkIxc,audio_features,spotify:track:3TpS8fwpm5yqcGIudfkIxc,0.223,1
3Gda1sTo2ZjbztjjsnAsP3,Perfume Genius,Slip Away,63,0.371,https://api.spotify.com/v1/audio-analysis/3Gda1sTo2ZjbztjjsnAsP3,0.603,165330,0.509,2.6600000000000003e-05,1,0.0627,-6.824,1,0.0312,136.592,4,https://api.spotify.com/v1/tracks/3Gda1sTo2ZjbztjjsnAsP3,audio_features,spotify:track:3Gda1sTo2ZjbztjjsnAsP3,0.5720000000000001,1
6oeABvJGU7Oztzd3CiSv0l,Slowdive,Star Roving,54,0.0733,https://api.spotify.com/v1/audio-analysis/6oeABvJGU7Oztzd3CiSv0l,0.326,338869,0.932,0.725,9,0.293,-4.909,1,0.0506,143.92700000000002,4,https://api.spotify.com/v1/tracks/6oeABvJGU7Oztzd3CiSv0l,audio_features,spotify:track:6oeABvJGU7Oztzd3CiSv0l,0.397,1
15EPc80XuFrb2LmOzGjuRg,GoldLink,Crew (feat. Brent Faiyaz & Shy Glizzy),78,0.133,https://api.spotify.com/v1/audio-analysis/15EPc80XuFrb2LmOzGjuRg,0.728,176702,0.607,0.0,1,0.0864,-8.417,0,0.132,129.938,4,https://api.spotify.com/v1/tracks/15EPc80XuFrb2LmOzGjuRg,audio_features,spotify:track:15EPc80XuFrb2LmOzGjuRg,0.445,1
2fZQIJew3nkNe99s2PKzul,Selena Gomez,Bad Liar,76,0.18899999999999997,https://api.spotify.com/v1/audio-analysis/2fZQIJew3nkNe99s2PKzul,0.965,214648,0.414,0.0,1,0.0767,-6.4079999999999995,1,0.0713,121.03200000000001,4,https://api.spotify.com/v1/tracks/2fZQIJew3nkNe99s2PKzul,audio_features,spotify:track:2fZQIJew3nkNe99s2PKzul,0.728,1
6XVDZoNVGvWhfSoqQhjJZI,Big Thief,Mythological Beauty,57,0.301,https://api.spotify.com/v1/audio-analysis/6XVDZoNVGvWhfSoqQhjJZI,0.629,306760,0.579,0.22,10,0.11599999999999999,-8.544,1,0.0255,106.67299999999999,4,https://api.spotify.com/v1/tracks/6XVDZoNVGvWhfSoqQhjJZI,audio_features,spotify:track:6XVDZoNVGvWhfSoqQhjJZI,0.475,1
3KQvcYqWgMnG6MCg1aeXif,Thundercat,Show You the Way,53,0.153,https://api.spotify.com/v1/audio-analysis/3KQvcYqWgMnG6MCg1aeXif,0.679,214554,0.513,0.08199999999999999,0,0.102,-10.325999999999999,1,0.0764,75.969,4,https://api.spotify.com/v1/tracks/3KQvcYqWgMnG6MCg1aeXif,audio_features,spotify:track:3KQvcYqWgMnG6MCg1aeXif,0.622,1
0w5Bdu51Ka25Pf3hojsKHh,Paramore,Hard Times,72,0.00647,https://api.spotify.com/v1/audio-analysis/0w5Bdu51Ka25Pf3hojsKHh,0.695,182693,0.818,4.87e-06,5,0.0219,-5.379,0,0.0334,119.965,4,https://api.spotify.com/v1/tracks/0w5Bdu51Ka25Pf3hojsKHh,audio_features,spotify:track:0w5Bdu51Ka25Pf3hojsKHh,0.9159999999999999,1
2qwn6whaZf7gax7SaqUZSC,Future,Incredible,58,0.0634,https://api.spotify.com/v1/audio-analysis/2qwn6whaZf7gax7SaqUZSC,0.79,248050,0.43799999999999994,0.0,1,0.1,-6.462000000000001,1,0.133,90.022,4,https://api.spotify.com/v1/tracks/2qwn6whaZf7gax7SaqUZSC,audio_features,spotify:track:2qwn6whaZf7gax7SaqUZSC,0.247,1
6krNSTegkvGMmdIUOUEQH1,Kehlani,Undercover,57,0.275,https://api.spotify.com/v1/audio-analysis/6krNSTegkvGMmdIUOUEQH1,0.721,183280,0.593,0.0,0,0.0714,-4.768,0,0.0397,145.025,4,https://api.spotify.com/v1/tracks/6krNSTegkvGMmdIUOUEQH1,audio_features,spotify:track:6krNSTegkvGMmdIUOUEQH1,0.721,1
5lgkoNVqoQNBZ01lGcyOCV,Kaitlyn Aurelia Smith,An Intention,17,0.221,https://api.spotify.com/v1/audio-analysis/5lgkoNVqoQNBZ01lGcyOCV,0.287,240587,0.36700000000000005,0.158,5,0.105,-9.023,1,0.0311,132.02200000000002,5,https://api.spotify.com/v1/tracks/5lgkoNVqoQNBZ01lGcyOCV,audio_features,spotify:track:5lgkoNVqoQNBZ01lGcyOCV,0.0956,1
4U6ThqF3jiaUVgYcxmpOXQ,Four Tet,Planet,47,0.467,https://api.spotify.com/v1/audio-analysis/4U6ThqF3jiaUVgYcxmpOXQ,0.672,438480,0.762,0.862,0,0.111,-10.113999999999999,1,0.0747,126.98299999999999,5,https://api.spotify.com/v1/tracks/4U6ThqF3jiaUVgYcxmpOXQ,audio_features,spotify:track:4U6ThqF3jiaUVgYcxmpOXQ,0.23199999999999998,1
6pwh8jxrpOoXAXhjAhIvFE,King Krule,Czech One,45,0.935,https://api.spotify.com/v1/audio-analysis/6pwh8jxrpOoXAXhjAhIvFE,0.402,255137,0.21100000000000002,0.0056,11,0.129,-14.339,0,0.0524,78.89399999999999,4,https://api.spotify.com/v1/tracks/6pwh8jxrpOoXAXhjAhIvFE,audio_features,spotify:track:6pwh8jxrpOoXAXhjAhIvFE,0.166,1
10tS3AWz8aUWArbnxIrUL6,Father John Misty,Total Entertainment Forever,47,0.175,https://api.spotify.com/v1/audio-analysis/10tS3AWz8aUWArbnxIrUL6,0.387,173893,0.8,6.25e-06,7,0.147,-4.8469999999999995,0,0.0511,157.79,4,https://api.spotify.com/v1/tracks/10tS3AWz8aUWArbnxIrUL6,audio_features,spotify:track:10tS3AWz8aUWArbnxIrUL6,0.569,1
6SwRhMLwNqEi6alNPVG00n,Kendrick Lamar,LOYALTY. FEAT. RIHANNA.,74,0.0265,https://api.spotify.com/v1/audio-analysis/6SwRhMLwNqEi6alNPVG00n,0.6579999999999999,227360,0.535,0.0,9,0.2,-8.982999999999999,0,0.0573,110.684,4,https://api.spotify.com/v1/tracks/6SwRhMLwNqEi6alNPVG00n,audio_features,spotify:track:6SwRhMLwNqEi6alNPVG00n,0.419,1
7jmHYnmtMPEfKQpDbFJcJw,Julie Byrne,Natural Blue,36,0.934,https://api.spotify.com/v1/audio-analysis/7jmHYnmtMPEfKQpDbFJcJw,0.29,239047,0.106,1.22e-05,9,0.0827,-16.015,1,0.0328,105.17299999999999,3,https://api.spotify.com/v1/tracks/7jmHYnmtMPEfKQpDbFJcJw,audio_features,spotify:track:7jmHYnmtMPEfKQpDbFJcJw,0.33,1
