id,artist,name,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
6gkdrnpc9P7e2GQan2PHlH,Varnaline,Sky'd Out,0,0.0551,https://api.spotify.com/v1/audio-analysis/6gkdrnpc9P7e2GQan2PHlH,0.697,179107,0.714,3.73e-05,2,0.0584,-6.419,1,0.0345,109.574,4,https://api.spotify.com/v1/tracks/6gkdrnpc9P7e2GQan2PHlH,audio_features,spotify:track:6gkdrnpc9P7e2GQan2PHlH,0.307
5iH1dGzGCCM20U1CVeUsuK,Ninjasonik,Mosh Pit (feat. The Partysquad),5,0.0515,https://api.spotify.com/v1/audio-analysis/5iH1dGzGCCM20U1CVeUsuK,0.801,172122,0.791,2.53e-06,1,0.103,-4.407,1,0.257,128.034,4,https://api.spotify.com/v1/tracks/5iH1dGzGCCM20U1CVeUsuK,audio_features,spotify:track:5iH1dGzGCCM20U1CVeUsuK,0.712
6LLSVUmeN2ErRRI95wFo6E,AC Slater,Take You (feat. Ninjasonik),5,0.00229,https://api.spotify.com/v1/audio-analysis/6LLSVUmeN2ErRRI95wFo6E,0.511,285400,0.947,0.000241,0,0.899,-4.597,1,0.183,132.967,4,https://api.spotify.com/v1/tracks/6LLSVUmeN2ErRRI95wFo6E,audio_features,spotify:track:6LLSVUmeN2ErRRI95wFo6E,0.615
6yTYsxKubGM1Q6uHatU9lT,Ed Harcourt,Visit From The Dead Dog,0,0.464,https://api.spotify.com/v1/audio-analysis/6yTYsxKubGM1Q6uHatU9lT,0.587,183493,0.77,4.91e-05,3,0.123,-6.394,1,0.0281,104.227,4,https://api.spotify.com/v1/tracks/6yTYsxKubGM1Q6uHatU9lT,audio_features,spotify:track:6yTYsxKubGM1Q6uHatU9lT,0.743
19OKDKSAmTbWfprUgbsXKz,Har Mar Superstar,Transit,5,0.000474,https://api.spotify.com/v1/audio-analysis/19OKDKSAmTbWfprUgbsXKz,0.717,214693,0.841,0.0,7,0.338,-6.119,1,0.0389,104.018,4,https://api.spotify.com/v1/tracks/19OKDKSAmTbWfprUgbsXKz,audio_features,spotify:track:19OKDKSAmTbWfprUgbsXKz,0.533
0nho01ljYw6CkX3n1JAhmE,Har Mar Superstar,Body Request,5,0.000933,https://api.spotify.com/v1/audio-analysis/0nho01ljYw6CkX3n1JAhmE,0.738,208107,0.843,0.000297,8,0.0812,-6.771,1,0.0363,119.997,4,https://api.spotify.com/v1/tracks/0nho01ljYw6CkX3n1JAhmE,audio_features,spotify:track:0nho01ljYw6CkX3n1JAhmE,0.667
7Jrkz6mM82UKwgAku9gss3,Har Mar Superstar,DUI,12,0.00669,https://api.spotify.com/v1/audio-analysis/7Jrkz6mM82UKwgAku9gss3,0.79,191653,0.778,0.0,1,0.134,-6.495,1,0.0648,98.0,4,https://api.spotify.com/v1/tracks/7Jrkz6mM82UKwgAku9gss3,audio_features,spotify:track:7Jrkz6mM82UKwgAku9gss3,0.957
1MzZ2Y3WVZr2EGvfonrETX,Mission Of Burma,Mica,2,0.0185,https://api.spotify.com/v1/audio-analysis/1MzZ2Y3WVZr2EGvfonrETX,0.289,264387,0.921,0.00519,4,0.101,-7.427,0,0.151,147.109,4,https://api.spotify.com/v1/tracks/1MzZ2Y3WVZr2EGvfonrETX,audio_features,spotify:track:1MzZ2Y3WVZr2EGvfonrETX,0.14
4KzXAHMOrWvDLMlSE8aGDD,Mission Of Burma,The Setup,12,0.000204,https://api.spotify.com/v1/audio-analysis/4KzXAHMOrWvDLMlSE8aGDD,0.213,188213,0.948,0.00144,9,0.403,-7.335,1,0.0644,91.296,4,https://api.spotify.com/v1/tracks/4KzXAHMOrWvDLMlSE8aGDD,audio_features,spotify:track:4KzXAHMOrWvDLMlSE8aGDD,0.367
0tXLTmamOd218JIdHbFRto,Mission Of Burma,Dust Devil,3,7.99e-05,https://api.spotify.com/v1/audio-analysis/0tXLTmamOd218JIdHbFRto,0.353,117238,0.937,0.00455,9,0.123,-5.584,1,0.121,128.267,4,https://api.spotify.com/v1/tracks/0tXLTmamOd218JIdHbFRto,audio_features,spotify:track:0tXLTmamOd218JIdHbFRto,0.738
