Year,Sex,Race,Ideology,Political,Happymar,Happy,Opinion of family income,DStand,DPStand
2000,1,1,3,3,2,3,2,1.66,-0.38
2000,1,1,2,3,3,2,2,-1.20,2.07
2000,1,1,4,6,2,2,3,0.50,0.55
2000,0,1,4,7,1,3,3,-0.60,-0.24
2000,1,1,4,6,3,3,5,-0.10,2.00
2000,0,1,5,3,3,2,4,0.71,1.47
2000,0,2,2,1,3,2,3,1.51,1.01
2000,0,1,4,4,3,3,3,-1.05,1.57
2000,0,1,4,3,2,2,3,-0.10,-0.38
2000,1,1,3,3,3,2,3,-1.15,1.57
2000,1,1,4,2,3,3,3,-2.46,0.52
2000,1,1,6,6,3,2,3,-0.10,0.78
2000,0,1,4,2,3,3,3,1.06,-0.94
2000,1,1,6,7,3,2,4,-1.20,1.11
2000,1,1,1,7,3,2,3,1.01,-0.84
2000,0,1,3,5,3,3,4,0.60,-1.43
2000,0,1,6,8,2,2,5,1.21,1.61
2000,0,1,5,2,2,2,3,0.05,0.95
2000,1,1,6,7,3,3,3,2.36,1.14
2000,0,1,6,7,3,3,3,-1.00,0.55
2000,1,1,4,7,2,1,3,1.31,-0.38
2000,0,3,4,4,3,3,4,-0.35,1.80
2000,1,1,3,0,3,2,4,-0.40,0.25
2000,1,1,3,2,3,3,4,-0.90,1.77
2000,1,1,5,1,3,3,3,1.26,0.32
2000,0,2,4,2,2,2,4,0.10,-1.43
2000,1,1,4,2,3,3,4,0.05,-0.64
2000,1,1,2,2,2,2,4,-0.10,-0.11
2000,0,1,2,6,3,3,2,-0.60,1.14
2000,0,1,5,5,2,2,4,-1.75,-0.51
2000,0,1,5,6,2,2,4,-1.35,-0.90
2000,0,1,5,2,3,2,4,-0.30,1.01
2000,0,1,4,6,3,3,4,0.45,-0.87
2000,1,1,4,2,2,3,3,2.01,-1.40
2000,0,1,6,7,3,2,5,-1.30,0.91
2000,0,1,2,2,3,2,4,-1.30,0.55
2000,1,3,4,6,3,2,4,0.45,-1.66
2000,0,1,5,2,3,3,3,0.60,0.42
2000,1,1,5,3,3,2,3,-0.10,-0.01
2000,0,1,4,6,2,2,4,-1.05,-0.11
2000,1,3,3,2,2,2,3,0.05,1.24
2000,1,1,4,2,3,3,2,0.60,-0.38
2000,1,1,3,3,3,2,2,-0.95,0.91
2000,1,3,4,7,2,1,3,0.30,-0.38
2000,0,1,3,1,3,3,4,-0.55,-1.89
2000,0,1,0,4,3,2,4,-1.80,-0.31
2000,0,1,6,6,3,3,4,0.45,1.34
2000,0,1,6,7,2,1,5,-1.80,-1.00
2000,1,1,7,6,3,3,3,1.66,0.25
2000,1,1,4,3,2,2,4,0.81,-0.01
2000,1,3,0,2,3,3,3,-0.70,0.98
2000,1,3,4,2,2,3,2,-1.95,0.81
2000,0,1,4,5,2,2,3,0.25,-0.90
2000,0,1,3,1,3,2,3,-0.10,-0.87
2000,0,1,6,7,3,3,2,1.41,-0.47
2000,0,1,4,6,3,2,2,0.60,-0.38
2000,1,1,4,6,3,3,4,2.36,0.12
2000,0,1,6,7,2,3,3,-0.35,-1.20
2000,1,1,4,7,2,2,2,-0.15,1.28
2000,1,1,6,4,3,2,3,-0.85,2.04
2000,0,2,3,8,3,3,2,-0.90,-0.38
2000,1,2,4,8,2,2,4,0.55,-0.74
2000,1,2,3,4,3,2,2,0.20,-0.08
2000,1,2,1,2,3,2,1,-0.65,-0.38
2000,1,1,6,7,3,2,3,0.60,-0.38
2000,0,1,4,6,2,2,4,-0.25,1.08
2000,1,1,6,5,3,2,4,1.56,-1.40
2000,0,1,3,2,2,2,3,0.30,1.54
2000,1,1,1,8,2,2,4,0.91,0.05
2000,0,1,6,6,3,3,4,-0.25,1.34
2000,0,1,6,6,3,2,5,0.40,0.02
2000,0,1,5,5,3,3,5,-1.25,-0.44
2000,0,1,2,3,3,3,4,0.20,1.11
2000,1,2,4,2,3,2,3,0.50,0.38
2000,1,1,2,1,3,3,5,-1.60,-0.41
